工单号,问题描述,解决步骤,推荐1,推荐1分数,推荐1原因,推荐2,推荐2分数,推荐2原因,推荐3,推荐3分数,推荐3原因,是否命中
51020420096,"设备移机     散料车间西头办公室
   电话65900",重新连接打印机,printer/shared-printer-connect-failed,18,处理记录关键词:重新连接打印机；处理记录关键词:连接打印机,,,,,,,是
51020112828,常用软件闪退，需要重装系统,已重装,desktop/windows-system-reinstall-or-cache-reset,62,问题描述关键词:重装系统；问题描述关键词:需要重装系统；问题描述关键词:软件闪退,,,,,,,是
51020210079,纸张卡纸,继电器触点老化,desktop/printer-paper-jam,14,问题描述关键词:卡纸,printer/printer-paper-jam-feed-failed,14,问题描述关键词:卡纸,,,,是
51020112202,内网通不能保存聊天记录,"更改存储路径
更改存储路径
更改存储路径",,,,,,,,,,否
51020111707,数据线损坏，电脑屏幕一个不亮，一个分辨率无法调整。,显卡问题,,,,,,,,,,否
51021860104,无法登录,网络认证问题,desktop/account-login-failed,22,问题描述关键词:无法登录,desktop/network-authentication-unavailable,18,处理记录关键词:网络认证；处理记录关键词:认证问题,,,,是
51020112989,技术支持传不了PDF,浏览器兼容性问题,office/pdf-reader-open-print-failed,40,问题描述关键词:pdf；问题描述tags:pdf；问题描述标题:PDF,office/browser-compatibility-control-certificate,13,处理记录关键词:浏览器兼容；处理记录标题:浏览器兼容性,,,,是
51020420080,打印机提示卡纸，无法使用。,进纸盒有碎纸片,printer/printer-paper-jam-feed-failed,18,问题描述关键词:卡纸；处理记录关键词:碎纸片,desktop/printer-paper-jam,14,问题描述关键词:卡纸,,,,是
51021860041,工位机无网络,网络认证问题,desktop/network-authentication-unavailable,30,问题描述关键词:无网络；处理记录关键词:网络认证；处理记录关键词:认证问题,,,,,,,是
51020112343,无法打印,打印端口不通,desktop/printer-not-working,22,问题描述关键词:无法打印,printer/print-port-deleted-by-security-software,10,处理记录关键词:打印端口,,,,是
51020112202,电脑内网通，群晖无法保存聊天记录，聊天记录的日期还在10月14日,软件缓存位置更改,,,,,,,,,,否
51020120304,使用时黑屏 无法正常开关机,系统更新问题,desktop/black-screen-desktop-not-shown,14,问题描述关键词:黑屏,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:系统更新问题,,,,是
51020152508,内网通部分用户连接不上,"显示不完整
显示离线
断网启用，重新上",,,,,,,,,,否
51021870018,开机几分钟，就死机,主板有问题需要送售后进一步检测,,,,,,,,,,否
51021860036,无法开机黑屏 18837322252,"内存问题
缓存没清空  开机黑屏  
拔掉内存，清空缓存 重新开机",desktop/pc-boot-failed,22,问题描述关键词:无法开机,desktop/windows-system-reinstall-or-cache-reset,18,处理记录关键词:清空缓存；处理记录关键词:缓存没清空,desktop/black-screen-desktop-not-shown,14,问题描述关键词:黑屏,是
51020151555,显示器显示蓝色。,显示器信号线松,hardware/monitor-no-display-or-flicker,10,处理记录关键词:信号线松,,,,,,,是
51020112777,安装新程序,安装SAP和共享打印机,business-systems/sap-client-login-print-failed,35,处理记录关键词:sap；处理记录systems:sap；处理记录tags:sap；处理记录标题:SAP,security/access-control-offline-or-reboot,16,处理记录关键词:ap；处理记录tags:ap,printer/shared-printer-connect-failed,10,处理记录关键词:共享打印机,是
51020420080,打印机显示清楚卡纸，但内部未见卡纸，重新启动还是不行,进纸盒卡纸,desktop/printer-paper-jam,14,问题描述关键词:卡纸,printer/printer-paper-jam-feed-failed,14,问题描述关键词:卡纸,,,,是
51020150941,开不了机了,"提示mgr' compressed
进pe，将C盘即系盘解压缩，",desktop/pc-boot-failed,22,问题描述关键词:开不了机,,,,,,,是
51020112661,打印机坏了，双五重型车间C39柱子,"换了主机 标签打印机没连接
连接标签打印机 纸张00*32",printer/label-printer-paper-recognition,10,处理记录关键词:标签打印,,,,,,,是
51020210085,进纸不畅，总是进纸失败提示卡纸,搓纸轮磨损，更换搓纸轮,printer/printer-paper-jam-feed-failed,38,问题描述关键词:卡纸；问题描述关键词:进纸失败；处理记录关键词:搓纸轮,desktop/printer-paper-jam,14,问题描述关键词:卡纸,,,,是
91020110166,文件打不开丢失,机械硬盘坏,desktop/office-wps-document-open-failed,22,问题描述关键词:文件打不开,hardware/disk-fault-not-just-c-drive-full,6,处理记录关键词:硬盘坏,,,,是
51021860121,磁盘空间不足，提示的第二次了,系统自动备份占C盘空间，删除备份数据，关闭自动备份,desktop/disk-c-drive-full,22,问题描述关键词:磁盘空间不足,,,,,,,是
51020152376,扫描的文件下载后无法窗格预览,IE浏览器安全检测问题,printer/scanner-preview-failed,14,问题描述关键词:扫描,,,,,,,是
51020112833,制图软件无法重装,"重装CAD
重装CAD
重装CAD",design-software/cad-install-uninstall-failed,27,处理记录关键词:cad重装；处理记录关键词:cad；处理记录tags:cad；处理记录标题:CAD,design-software/cad-plm-interface-failed,19,处理记录关键词:cad；处理记录tags:cad；处理记录标题:CAD,design-software/cad-drawing-open-failed-encryption,19,处理记录关键词:cad；处理记录tags:cad；处理记录标题:CAD,是
0,8楼楼道共享打印机一直提示纸盘1报错,厂家技术已修好,printer/shared-printer-connect-failed,22,问题描述关键词:共享打印机,,,,,,,是
91020210009,部件损坏,更换打印机,,,,,,,,,,否
51020112172,电脑硬盘满了，C盘，D盘，都满了,增加金士顿T硬盘一块,desktop/disk-c-drive-full,14,问题描述关键词:硬盘满,,,,,,,是
51020111657,开不开机，风扇一直转然后就是不开机,缓存没清空,desktop/pc-boot-failed,14,问题描述关键词:不开机,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:缓存没清空,,,,是
51020151190,此电脑共享文件其他人打不开，打开文档报错,"共享电脑IP地址改变，office插件损坏
共享新的IP地址，重装插件",desktop/office-wps-document-open-failed,39,处理记录关键词:office；处理记录systems:office；处理记录tags:office；处理记录标题:Office,business-systems/kms-windows-office-activation,39,处理记录关键词:office；处理记录systems:office；处理记录tags:office；处理记录标题:Office,desktop/shared-file-cloud-drive-access,22,问题描述关键词:共享文件,是
51020120731,风扇异响,风扇坏，计划外购买更换,,,,,,,,,,否
51020112593,WPS基本功能丢失,软件冲突，重新安装wps,desktop/office-wps-document-open-failed,72,问题描述关键词:wps；问题描述systems:wps；问题描述tags:wps；问题描述标题:WPS,office/wps-feature-missing-or-calculation-slow,72,问题描述关键词:wps；问题描述systems:wps；问题描述tags:wps；问题描述标题:WPS,desktop/software-client-installation,10,处理记录关键词:重新安装,是
51020111706,电脑无法开机,显卡坏,desktop/pc-boot-failed,22,问题描述关键词:无法开机,,,,,,,是
51020210179,无法打印库位码,"wms服务组件客户端异常
联系厂家技术远程协助。",printer/label-printer-paper-recognition,44,问题描述关键词:库位码；处理记录关键词:wms；处理记录systems:wms；处理记录tags:wms,desktop/printer-not-working,22,问题描述关键词:无法打印,printer/print-template-or-paper-size-error,22,处理记录关键词:wms；处理记录systems:wms,是
51020111352,电脑蓝屏,内存松,hardware/blue-screen-dump-or-driver,14,问题描述关键词:蓝屏,,,,,,,是
91020420033,搬到新办公室综合办公楼709，打印机不能打印，显示没联机,重新连接打印机,printer/shared-printer-connect-failed,18,处理记录关键词:重新连接打印机；处理记录关键词:连接打印机,,,,,,,是
91020210009,"打印机卡纸取不出来，
打印出的纸张两边有黑印",定影膜坏,desktop/printer-paper-jam,54,问题描述关键词:打印机卡纸；问题描述关键词:卡纸；问题描述关键词:取不出来,printer/print-quality-faded-streaks-head-wear,18,问题描述关键词:黑印；处理记录关键词:定影膜,printer/printer-paper-jam-feed-failed,14,问题描述关键词:卡纸,是
51020112245,不打印了,红外感应头脏   清洁感应头，重新校准打印机,security/barrier-gate-abnormal,6,处理记录关键词:红外,,,,,,,是
51020112552,无法打印文件,调岗  更换域账户，重新设置打印机,desktop/printer-not-working,22,问题描述关键词:无法打印,desktop/account-login-failed,6,处理记录关键词:域账户,,,,是
51020210179,需安装,重新连接。调整wms模板,printer/label-printer-paper-recognition,32,处理记录关键词:wms；处理记录systems:wms；处理记录tags:wms,printer/print-template-or-paper-size-error,22,处理记录关键词:wms；处理记录systems:wms,design-software/cad-install-uninstall-failed,8,问题描述标题:安装,是
51020112534,转，张国超张工。蓝屏,重装系统,hardware/blue-screen-dump-or-driver,14,问题描述关键词:蓝屏,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:重装系统,,,,是
51021860135,工位机无网，工位机在11万F25柱子处,网络认证问题,desktop/network-authentication-unavailable,18,处理记录关键词:网络认证；处理记录关键词:认证问题,,,,,,,是
51020112193,偶尔会不明原因的连不上网,认证客户端掉线,desktop/network-authentication-unavailable,22,问题描述关键词:连不上网,business-systems/plm-client-or-login-failed,5,处理记录标题:客户端,,,,是
51020111999,连不上网,网线接触不良,desktop/network-authentication-unavailable,22,问题描述关键词:连不上网,network-security/network-cable-port-switch-fault,13,处理记录关键词:网线接触不良；处理记录标题:网线,,,,是
51020111714,开不了机，急用,电源坏了,desktop/pc-boot-failed,22,问题描述关键词:开不了机,,,,,,,是
51020210156,打印机无法打印！显示耗材余量错误！更换硒鼓！也无法正常工作！,硒鼓芯片不识别,desktop/printer-not-working,22,问题描述关键词:无法打印,printer/print-quality-faded-streaks-head-wear,14,问题描述关键词:硒鼓,,,,是
51020151983,国贸1006/1005/1001三个会议室设备需要调整,006亿联A0挪到00王玺房间，原702会议室讯飞大屏挪到006，原00投屏一套挪到005，测试正常。,meeting-room/meeting-room-projection-or-conference-device,30,处理记录关键词:投屏；处理记录关键词:亿联；问题描述关键词:会议室设备,meeting-room/meeting-room-display-or-led-screen,18,问题描述关键词:会议室；处理记录关键词:大屏,,,,是
51020151860,特种车间北一跨保密区域因冶金吊机测试需要安装摄像头，,当时让拆除的时候只让拆除摄像头，线路保留，重新调试摄像头安装。,security/camera-no-signal-or-offline,34,问题描述关键词:摄像头；问题描述关键词:保密区域,desktop/software-client-installation,22,问题描述关键词:需要安装,design-software/cad-install-uninstall-failed,8,问题描述标题:安装,是
51020112184,PLM和OA无法登录,网线接口松。接触不良,desktop/account-login-failed,110,问题描述关键词:无法登录；问题描述关键词:oa；问题描述关键词:plm；问题描述systems:oa；问题描述systems:plm,design-software/cad-plm-interface-failed,72,问题描述关键词:plm；问题描述systems:plm；问题描述tags:plm；问题描述标题:PLM,business-systems/oa-upload-or-print-slow,72,问题描述关键词:oa；问题描述systems:oa；问题描述tags:oa；问题描述标题:OA,是
51020111754,开不了机,显卡坏。,desktop/pc-boot-failed,22,问题描述关键词:开不了机,,,,,,,是
51020151983,监事会与国贸互换办公室，需要布线,重新布线，连接打印机,printer/shared-printer-connect-failed,10,处理记录关键词:连接打印机,,,,,,,是
91020110166,电脑经常开不了机，或者开机特别慢，经常会自己重启。,配置低。需更换主机,desktop/pc-boot-failed,22,问题描述关键词:开不了机,desktop/pc-performance-slow,6,处理记录关键词:配置低,,,,是
51021860020,连不上网，加急，在路北小件处,网络认证问题，总计5台,desktop/network-authentication-unavailable,38,问题描述关键词:连不上网；处理记录关键词:网络认证；处理记录关键词:认证问题,,,,,,,是
51021860067,连不上网，加急,网络认证问题,desktop/network-authentication-unavailable,38,问题描述关键词:连不上网；处理记录关键词:网络认证；处理记录关键词:认证问题,,,,,,,是
51021860087,没网  打不开MES系统,网络认证问题，用户绑定校验失败,desktop/network-authentication-unavailable,100,问题描述关键词:没网；处理记录关键词:网络认证；处理记录关键词:认证问题；问题描述关键词:mes；问题描述systems:mes；问题描述tags:mes；问题描述标题:MES,business-systems/mes-login-network-related,72,问题描述关键词:mes；问题描述systems:mes；问题描述tags:mes；问题描述标题:MES,desktop/account-login-failed,46,问题描述关键词:mes；问题描述systems:mes,是
51020112822,安装adobe illustrator时报错,加密问题。,office/pdf-reader-open-print-failed,22,问题描述关键词:adobe,design-software/cad-install-uninstall-failed,8,问题描述标题:安装,,,,是
51020152056,C盘储存满,系统自动备份。 停止备份程序。删除备份内容,desktop/disk-c-drive-full,22,问题描述关键词:c盘储存满,,,,,,,是
51020150859,显示屏坏,显示器坏更换显示器,hardware/monitor-no-display-or-flicker,30,处理记录关键词:显示器坏；问题描述关键词:显示屏坏,,,,,,,是
91020420033,无法打印文件，显示打印机脱机及附件照片,重新连接打印机,printer/printer-offline-or-paused,28,问题描述关键词:打印机脱机；问题描述标题:打印机脱机,desktop/printer-not-working,22,问题描述关键词:无法打印,printer/shared-printer-connect-failed,18,处理记录关键词:重新连接打印机；处理记录关键词:连接打印机,是
,eplan软件不可用,重装系统和软件,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:重装系统,,,,,,,是
51020112213,打印出错,wms系统设置问题。已联系厂家处理,printer/label-printer-paper-recognition,32,处理记录关键词:wms；处理记录systems:wms；处理记录tags:wms,printer/print-template-or-paper-size-error,22,处理记录关键词:wms；处理记录systems:wms,,,,是
,喷砂房南侧小门附近卡机“产业园_轻型南区_东南门_门_1”移到匠心楼前台,已调整位置，安装到匠心楼大厅前台。,design-software/cad-install-uninstall-failed,5,处理记录标题:安装,,,,,,,是
51021860133,触摸屏不灵敏，加号点不开,屏幕分辨率高字体太小,,,,,,,,,,否
51020112309,连接不上网络，网线插上不亮,墙上模块接触不良,desktop/network-authentication-unavailable,22,问题描述关键词:连接不上网络,network-security/network-cable-port-switch-fault,8,问题描述标题:网线,,,,是
51020151983,KTV两台灯光系统有掉落风险,"两台摇头灯一侧翘边
使用脚手架重新安装",desktop/software-client-installation,10,处理记录关键词:重新安装,design-software/cad-install-uninstall-failed,5,处理记录标题:安装,,,,是
51021860034,黑屏，双七东头c35柱子,断电缓存没清空,desktop/black-screen-desktop-not-shown,14,问题描述关键词:黑屏,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:缓存没清空,,,,是
51020111977,office打不开word和excel 了,office版本问题  ，升级为9版office,desktop/office-wps-document-open-failed,140,问题描述关键词:office打不开；问题描述关键词:office；问题描述关键词:excel；问题描述systems:office；问题描述tags:office；问题描述tags:excel；问题描述标题:Office,business-systems/kms-windows-office-activation,80,问题描述关键词:office；问题描述systems:office；问题描述tags:office；问题描述标题:Office,office/wps-feature-missing-or-calculation-slow,42,问题描述关键词:excel；问题描述tags:excel,是
51020112005,连接不上网络,墙插模块接触不良,desktop/network-authentication-unavailable,22,问题描述关键词:连接不上网络,network-security/network-cable-port-switch-fault,10,处理记录关键词:墙插模块,,,,是
51020112005,电脑连接不上网络，,,desktop/network-authentication-unavailable,22,问题描述关键词:连接不上网络,,,,,,,是
51020151860,1号宿舍楼东北角交换机不通，导致4个摄像头不亮,console口查看光衰大小 ，清洁接入交换机端光口，,security/camera-no-signal-or-offline,38,问题描述关键词:摄像头；问题描述关键词:摄像头不亮；处理记录关键词:光衰,network-security/network-cable-port-switch-fault,14,问题描述关键词:交换机,,,,是
51020151156,显示屏花屏,换显示器,hardware/monitor-no-display-or-flicker,34,问题描述关键词:显示屏花屏；问题描述关键词:花屏,,,,,,,是
51020151983,餐厅蒲瑞总是在这吃饭，需要调整权限,"蒲瑞餐标低，很多蒲瑞生产人员来一号餐厅吃饭
、按组织查找权限，删除整个蒲瑞组织，2、按照管理人员下发蒲瑞在餐厅权限，3、按人员分组，将人员剔除，4、按单独人员下发的权限进行删除",,,,,,,,,,否
51020151860,北围墙岗亭监控只有两个,、设备巡检，发现北围墙主交换机不通2、现场查看是光纤问题，3、打光换光纤芯,network-security/network-cable-port-switch-fault,6,处理记录关键词:交换机,,,,,,,是
51021860069,开不开机，在南二跨西头，加急加急,缓存没清空,desktop/pc-boot-failed,14,问题描述关键词:不开机,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:缓存没清空,,,,是
51021860074,打不开页面,网线不通。重新拉网线,network-security/network-cable-port-switch-fault,13,处理记录关键词:网线不通；处理记录标题:网线,,,,,,,是
51020151983,边利松电脑保修,安装wps与pdf编辑软件,desktop/office-wps-document-open-failed,35,处理记录关键词:wps；处理记录systems:wps；处理记录tags:wps；处理记录标题:WPS,office/wps-feature-missing-or-calculation-slow,35,处理记录关键词:wps；处理记录systems:wps；处理记录tags:wps；处理记录标题:WPS,office/pdf-reader-open-print-failed,19,处理记录关键词:pdf；处理记录tags:pdf；处理记录标题:PDF,是
51020112661,网络等不上，重型车间双五C39,"网络认证客户端异常 
电脑缺少c++运行库   安装后在安装客户端重新认证上网",desktop/network-authentication-unavailable,18,处理记录关键词:网络认证；处理记录关键词:重新认证,desktop/software-client-installation,10,处理记录关键词:安装客户端,design-software/cad-install-uninstall-failed,5,处理记录标题:安装,是
51020120412,无线网卡丢失,网卡驱动错误,,,,,,,,,,否
51020112102,主机开了，显示器不显示，进入不了桌面,内存缓存没清空,hardware/monitor-no-display-or-flicker,22,问题描述关键词:显示器不显示,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:缓存没清空,hardware/memory-fault-or-insufficient,10,处理记录关键词:内存缓存,是
51020112309,无法连接网络，开机无法自启动，开机电脑屏幕出现英文字母,网络认证问题,desktop/network-authentication-unavailable,38,问题描述关键词:无法连接网络；处理记录关键词:网络认证；处理记录关键词:认证问题,,,,,,,是
51021860094,工位机连不上网,网络认证问题,desktop/network-authentication-unavailable,38,问题描述关键词:连不上网；处理记录关键词:网络认证；处理记录关键词:认证问题,,,,,,,是
51020111483,原来芦严电脑主机，现在转我名下，希望用我名字账户。不然无法使用打印机,切换域账户,desktop/account-login-failed,6,处理记录关键词:域账户,,,,,,,是
51020120731,连续蓝屏,"正在使用中蓝屏，可以进入安全模式
重新插拔内存条，硬盘，检测后硬盘无坏道，内存正常",hardware/blue-screen-dump-or-driver,14,问题描述关键词:蓝屏,hardware/memory-fault-or-insufficient,6,处理记录关键词:内存条,,,,是
51020120257,笔记本电脑电池充不进电，无法开机，用充电器一直充电也不行。,电池电量耗尽,desktop/pc-boot-failed,22,问题描述关键词:无法开机,,,,,,,是
51020120544,按键T，时灵时不灵，需要很用力才能按出来,暂时正常使用,,,,,,,,,,否
51020112248,装卸班办公室电脑连不上网，联系人 逯利香13460489679,堆场监控交换机跳闸,desktop/network-authentication-unavailable,22,问题描述关键词:连不上网,network-security/network-cable-port-switch-fault,6,处理记录关键词:交换机,,,,是
51020111852,黑屏，起动不了,"内存条松动
更换内存条",desktop/black-screen-desktop-not-shown,14,问题描述关键词:黑屏,hardware/memory-fault-or-insufficient,6,处理记录关键词:内存条,,,,是
51020112584,主机灯一直闪但是打不开机,"内存条松动
·",desktop/pc-boot-failed,34,问题描述关键词:打不开机；问题描述关键词:不开机,hardware/memory-fault-or-insufficient,6,处理记录关键词:内存条,,,,是
51020111862,主机无法开机，电源正常，显示屏正常,插座开关没电,desktop/pc-boot-failed,22,问题描述关键词:无法开机,,,,,,,是
51020111717,没有网,散料车间断电导致的网络问题,desktop/network-authentication-unavailable,14,问题描述关键词:没有网,,,,,,,是
51020112543,办公室没有网,解决散料车间网络设备断电问题，,desktop/network-authentication-unavailable,14,问题描述关键词:没有网,,,,,,,是
51020111763,连不上网,网络认证问题 增加端口认证数量,desktop/network-authentication-unavailable,38,问题描述关键词:连不上网；处理记录关键词:网络认证；处理记录关键词:认证问题,,,,,,,是
51021860024,不能开机,"内存故障，开机自检过不了，恢复后系统崩溃
动一下内存条，且重做系统",desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:系统崩溃,hardware/memory-fault-or-insufficient,6,处理记录关键词:内存条,,,,是
51020151700,打印机连接不上,"办公室针式打印机俩不上
查看是在谁电脑上连着，看共享地址，重新连接",desktop/printer-not-working,22,问题描述关键词:打印机连接不上,,,,,,,是
51020112347,网络异常，准入客户端异常,"准入客户端异常，缺少微软运行库组件
安装微软运行库组件，安装准入客户端",business-systems/plm-client-or-login-failed,8,问题描述标题:客户端,design-software/cad-install-uninstall-failed,5,处理记录标题:安装,,,,是
51021860121,无法联网,重启解决,desktop/network-authentication-unavailable,22,问题描述关键词:无法联网,,,,,,,是
51020111664,开不开机,"内存条坏，自检不过
用户要求加装硬盘，原来只有256G
更换内存条、加装硬盘",desktop/pc-boot-failed,14,问题描述关键词:不开机,hardware/memory-fault-or-insufficient,6,处理记录关键词:内存条,,,,是
51020151983,西二道门道闸异常,"西二道门西通道4异常
清理主板，重新配置程序，再次通电",security/barrier-gate-abnormal,14,问题描述关键词:道闸,,,,,,,是
51021860034,黑屏,"内存异常
压缩空气清理机箱，重新安装内存条",desktop/black-screen-desktop-not-shown,14,问题描述关键词:黑屏,desktop/software-client-installation,10,处理记录关键词:重新安装,hardware/memory-fault-or-insufficient,6,处理记录关键词:内存条,是
61020120018,无法安装郑州卫华国际办公室扫描仪驱动程序。其他同事可以安装,系统版本问题,printer/scanner-preview-failed,34,问题描述关键词:扫描；问题描述关键词:扫描仪驱动,design-software/cad-install-uninstall-failed,8,问题描述标题:安装,,,,是
51020111999,打开不了卫华网址,网络认证问题,desktop/network-authentication-unavailable,18,处理记录关键词:网络认证；处理记录关键词:认证问题,,,,,,,是
51020111987,疑似网络插头坏了，灯不亮，连不上网,重新更换水晶头,desktop/network-authentication-unavailable,22,问题描述关键词:连不上网,,,,,,,是
51020112144,打印机连接不上,系统更新问题,desktop/printer-not-working,22,问题描述关键词:打印机连接不上,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:系统更新问题,,,,是
51020112524,系统需要安装虚拟机及系统软件,"重装系统
需要安装VMware、百度网盘软件，已走流程通过保密办许可，负责人张翼翔
重装系统，安装VN ware、百度网盘",desktop/software-client-installation,22,问题描述关键词:需要安装,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:重装系统,design-software/cad-install-uninstall-failed,8,问题描述标题:安装,是
51020410036,经常卡纸，尤其双面打印时,已通知理光厂家,desktop/printer-paper-jam,14,问题描述关键词:卡纸,printer/printer-paper-jam-feed-failed,14,问题描述关键词:卡纸,,,,是
,使用过程序中突然无法打印了(打印机软件已安装),重新安装打印机驱动,desktop/printer-not-working,22,问题描述关键词:无法打印,desktop/software-client-installation,22,问题描述关键词:已安装；处理记录关键词:重新安装,printer/printer-driver-install-failed,10,处理记录关键词:打印机驱动,是
51020150076,登不上网了,网线断。重新拉网线,desktop/account-login-failed,14,问题描述关键词:登不上,network-security/network-cable-port-switch-fault,5,处理记录标题:网线,,,,是
51020112681,1.开不了机;2.没网络,电脑缓存没清空,desktop/pc-boot-failed,22,问题描述关键词:开不了机,desktop/network-authentication-unavailable,14,问题描述关键词:没网,desktop/windows-system-reinstall-or-cache-reset,10,处理记录关键词:缓存没清空,是
51020111916,由于研发部人员S系列的配置逻辑人员李文亮经常需要邵松涛邵工数据审核更新解密调试，因此申请将李文亮的文件的解密申请流程调整到邵松涛邵工下直接解密。,联系秦涛走对应的流程进行更换,,,,,,,,,,否
51020112213,打印机不打印,wms系统问题,printer/label-printer-paper-recognition,32,处理记录关键词:wms；处理记录systems:wms；处理记录tags:wms,printer/printer-offline-or-paused,22,问题描述关键词:打印机不打印,printer/print-template-or-paper-size-error,22,处理记录关键词:wms；处理记录systems:wms,是
51020111725,打不开图纸,主机配置太低更换主机 备份资料,,,,,,,,,,否
51020420074,不吸纸,搓纸轮 坏，更换搓纸轮,printer/printer-paper-jam-feed-failed,6,处理记录关键词:搓纸轮,,,,,,,是
61020120031,系统升级后提示系统未激活,用kms重新激活系统,business-systems/kms-windows-office-activation,32,处理记录关键词:kms；处理记录systems:kms；处理记录tags:kms,design-software/solidworks-license-activation-failed,10,处理记录关键词:重新激活,,,,是
51021860084,"无网络
c23位置",网络认证问题,desktop/network-authentication-unavailable,30,问题描述关键词:无网络；处理记录关键词:网络认证；处理记录关键词:认证问题,,,,,,,是
51021860041,车间工位机黑屏,主板电池没电。电脑开机进bios，需要按F启动,desktop/black-screen-desktop-not-shown,14,问题描述关键词:黑屏,,,,,,,是
51020112300,安装软件,联网安装软件,desktop/software-client-installation,22,问题描述关键词:安装软件,design-software/cad-install-uninstall-failed,8,问题描述标题:安装,,,,是
,微信登录提醒磁盘已满，无法登陆，C盘不知道该删什么,"C盘爆满，微信聊天记录爆满
浏览器下载多，保存位置默认C盘
针对个人数据迁移到D盘，清理微信聊天记录，更改默认保存位置",desktop/disk-c-drive-full,10,处理记录关键词:c盘爆满,,,,,,,是
,SAP软件安装、云盘连接等,"SAP软件安装
SAP-800版本闪退，新界面用不习惯
重新安装760版本，更改版面为经典",business-systems/sap-client-login-print-failed,72,问题描述关键词:sap；问题描述systems:sap；问题描述tags:sap；问题描述标题:SAP,security/access-control-offline-or-reboot,34,问题描述关键词:ap；问题描述tags:ap,desktop/software-client-installation,30,处理记录关键词:重新安装；问题描述关键词:软件安装,是
51020120329,上不去网,"网络认证问题
联系秦涛进行解绑",desktop/network-authentication-unavailable,38,处理记录关键词:网络认证；处理记录关键词:认证问题；问题描述关键词:上不去网,,,,,,,是
51020112807,安装软件,联网安装软件,desktop/software-client-installation,22,问题描述关键词:安装软件,design-software/cad-install-uninstall-failed,8,问题描述标题:安装,,,,是
51020111968,安装软件visual studio   约明天上午下班前把电脑送过去,联网安装软件,desktop/software-client-installation,22,问题描述关键词:安装软件,design-software/cad-install-uninstall-failed,8,问题描述标题:安装,,,,是
51020111866,"安装vs软件
9.23号下午安装",联网安装软件,desktop/software-client-installation,10,处理记录关键词:安装软件,design-software/cad-install-uninstall-failed,8,问题描述标题:安装,,,,是
51020112102,点开电脑开机键，显示屏不亮，一直黄灯,"显示器接受显示信号慢
等待一会显示屏亮
先不更换显示器，用户正常使用中",hardware/monitor-no-display-or-flicker,22,问题描述关键词:显示屏不亮,,,,,,,是
91020220003,打一个标签会出来好几张空白的。麻烦加急处理，谢谢,打印头磨损,printer/print-quality-faded-streaks-head-wear,14,处理记录关键词:打印头磨损；处理记录关键词:打印头,,,,,,,是
91020220003,打印有空白间隔,打印头磨损,printer/print-quality-faded-streaks-head-wear,34,处理记录关键词:打印头磨损；处理记录关键词:打印头；问题描述关键词:打印有空白间隔,,,,,,,是
51020210178,跑空白打不了,打印头磨损,printer/print-quality-faded-streaks-head-wear,26,处理记录关键词:打印头磨损；处理记录关键词:打印头；问题描述关键词:跑空白,,,,,,,是
51021860033,屏幕颜色是红的,信号线松,hardware/monitor-no-display-or-flicker,10,处理记录关键词:信号线松,,,,,,,是
,solidwork软件点击卡死，无法操作。,plm问题,design-software/cad-plm-interface-failed,35,处理记录关键词:plm；处理记录systems:plm；处理记录tags:plm；处理记录标题:PLM,business-systems/plm-client-or-login-failed,35,处理记录关键词:plm；处理记录systems:plm；处理记录tags:plm；处理记录标题:PLM,desktop/account-login-failed,22,处理记录关键词:plm；处理记录systems:plm,是
51021860084,显示器花屏,内存损坏，  更换内存,hardware/monitor-no-display-or-flicker,14,问题描述关键词:花屏,,,,,,,是
51020111503,启动不了,显卡坏，电脑配置老旧 更换新主机,,,,,,,,,,否
51020112564,下载云盘客户端，同步文件,安装云盘客户端，同步云盘资料,desktop/shared-file-cloud-drive-access,14,问题描述关键词:云盘,business-systems/plm-client-or-login-failed,8,问题描述标题:客户端,design-software/cad-install-uninstall-failed,5,处理记录标题:安装,是
51020111589,连不上网,网络认证问题,desktop/network-authentication-unavailable,38,问题描述关键词:连不上网；处理记录关键词:网络认证；处理记录关键词:认证问题,,,,,,,是
51020112524,安装西门子软件失败，安装没反应就自己结束了，打开百度网盘软件自己闪退,系统文件损坏,design-software/cad-drawing-open-failed-encryption,10,处理记录关键词:文件损坏,desktop/office-wps-document-open-failed,10,处理记录关键词:文件损坏,design-software/cad-install-uninstall-failed,8,问题描述标题:安装,是
51020210178,无法正常打印，跑空白,打印头感应问题,desktop/printer-not-working,22,问题描述关键词:无法正常打印,printer/print-quality-faded-streaks-head-wear,18,处理记录关键词:打印头；问题描述关键词:跑空白,,,,是
51020150409,没网，没有信号。,网线接触不良   电脑配置太低 需更换主机,desktop/network-authentication-unavailable,14,问题描述关键词:没网,network-security/network-cable-port-switch-fault,13,处理记录关键词:网线接触不良；处理记录标题:网线,,,,是
